Address,Raw Amount,Formatted Amount (6 decimals)
0x94A468FCB53A043Bf5Cd95EF21892E02C71134Be,2622100054,2622.100054
0xBb8FaFA8A629C4dcE022D95E098ccCceE1AcD942,339873719,339.873719
0x919B6d258834Db50d241053d1f89B1D4293d40CA,299622910,299.622910
0xa68d051C37241341773829BbF48c6f5382ab1510,270838699,270.838699
0xa5F7e94381Acb2C5Ec2549C5183726082C67F215,139128222,139.128222
0xdC9b1Bc9CA415238D3d26A2097514B7EE0951e09,133654959,133.654959
0x6FBa8565A4bb23A4978f1D97480f2f553cDA0BeC,130328199,130.328199
0x995b541B832F54743f6A207eC548C7370E538C87,116950482,116.950482
0x4BAd2833c44424423518194F07C4917BE28D7363,111514866,111.514866
0x6a9898D0109003806A86E102f6Bc958c0cBaB337,110540318,110.540318
0x24db8a0A16Da2812B55AF4d0F3a8ADa8A68A330f,108841158,108.841158
0x3c444623FeA790A81806035ff81ea721dc94b948,108770202,108.770202
0xBF11536c0b7c25d219460c119001a14fc25c9459,99838153,99.838153
0xD4852b7419F58793EbBE66F2c1382a10c8f6A9FF,98521778,98.521778
0x046bEe8E9e395486704e8E797f6848b5AFF08837,95806857,95.806857
0xc79E3B5bb905817c35AB8ACb6589F2aa7AeF7a79,92901706,92.901706
0x8964A0A2d814c0e6bF96a373f064a0Af357bb4cE,91859441,91.859441
0xd39C7b5f859F0B13A0d66c3D858a387ac8f1DE6B,87649381,87.649381
0x7F1d67417144b4c47e03963e8D809Ec1A16dE3cc,86412179,86.412179
0x1cE42D3089498Ec4dacA4994F17D9c2C8f7493e0,86226287,86.226287
0xa8aC0CAbB75a3842Fb8cbBe18359F71711cf95B7,81552291,81.552291
0xa91C173412015Bb9742F8C84196558765231cbe8,78903452,78.903452
0x4418B66ee70EA53740906A34f57A16441dcbC98f,74914128,74.914128
0xDE0eD312c2a3F9A105A00A2c65D4487Be7249e18,74831288,74.831288
0xF081f67185152a4B89fFC22887653e735905Dea1,73591892,73.591892
0x67f393E6736904487fAe5A197aDCc904c21e07Bf,72260727,72.260727
0xdCe32EbFb1B2c200567Bc48b065261afDFe3f2B9,71139292,71.139292
0x1612DABF87b0DB6B76094e5057779629d7c1D8B0,69807317,69.807317
0x5b828E10001475BEEdF2f521FE380da3627dBb09,67510448,67.510448
0x9a32dA5B410F0282264eBea372a84587814928cA,66714982,66.714982
0xd75f741A7f1d8B087b2c0A0107Bc23DB11Fa57F9,66442600,66.442600
0x6eA05072283E92033FCAe2582a4Ca11Ed979ef51,66032801,66.032801
0x9394d8Ae02202D54De9f469C000dBD58429d8860,65232365,65.232365
0x40B543684f71e9DBa6184023b083ae4397FA8E5f,64019645,64.019645
0x39AE01Cb89fbe366D06845a54358d28d585837e0,63562923,63.562923
0x57a7a851788902045Dcf275274513652421f62dc,62285132,62.285132
0xB8fa8579473b93aCeDfCEA5208a7b56bEC2c1385,61535829,61.535829
0xA31322446260F58338435bd519f3a00a0D158091,59502592,59.502592
0xD683e4467697b6EE7d3533093080Baa557f9bb64,58005106,58.005106
0xf2a354f9e3daE4Ec4f2d4523d15e5C3c9D4F753d,57507821,57.507821
0x2F39160Df03e0Ea404C7eb59c7ae1296040d2969,57099726,57.099726
0x7Cd16799bC694BA3Cf404936c2864AeA06B17C4B,56665291,56.665291
0x47144beD1572bdA34907Ef0f424Aa68efA01816b,55563250,55.563250
0x5bED880f6B2df611560003f05add9bFC1d7C774B,55079166,55.079166
0x146D35a6485DbAFF357fB48B3BbA31fCF9E9c787,54427118,54.427118
0xe52608ED87B064F299D2bf1FBd67d28598A293fE,54211779,54.211779
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,52867639,52.867639
0x03B26Ae76193D4461415028D9d893099dc97686B,51923787,51.923787
0x211DffD32f5FDFFf1a55F3873c55029367Dd30e9,51336467,51.336467
0xB50847681FF539Fb0FF8C4a04D89FdB260f70d95,50568121,50.568121
0x9A31FdCEca1431Dc95aBa8E53673945cEC484C2d,49529233,49.529233
0x7442Ecc6C7545001Fa111b2536BBC1162B01646F,46693463,46.693463
0xDa2451FadeEE72eb1c88327871205Aa0Ec05E994,43078411,43.078411
0xD6cCe78a2B00fe357515712D4E7Bd7f7411222F0,40648947,40.648947
0xA5E8903251C49412E835EA341885fE56f80D2960,40075891,40.075891
0x6d84264A7bD2Cffa4A117BA2350403b3A9866949,37918364,37.918364
0xced732cA92CB4f040239C4e8c85F14ACBb5db000,37235184,37.235184
0x5D1c90fC7f4ac5edEFD58A8f2dC16f204F96497D,37030312,37.030312
0x33dcb67Ee7adCee882ab9f9d748c6Dd1EdCF03e6,36530445,36.530445
0x04E45eE310048F79D0eb1D7eFedAA45c1973DcC1,36406974,36.406974
0x83F1B5B3DdDe574c785Fc093231c5fEc34B8fCf8,36319618,36.319618
0x0D280E4b6511E626b4C3e557de9F35E8B0e61dd0,35647226,35.647226
0x93A939EeE79B0D98E96CDa9DcB93BF89E8aF96C3,35448742,35.448742
0xc8C29aACBea6ed0b31c1348ade592d25d92aa2a2,33781700,33.781700
0x10CaA0054D874799510154f9906E2887602c25EA,33769037,33.769037
0xb38CB828F680B3919fE45EE557E180F19C89216e,33590184,33.590184
0x15eE5FBb9738E3fcea7a7326a29c1Ff45C47aA23,31977205,31.977205
0xd07556cEB045DbDBD7d44955BcD4ccCCb5bFff47,31234345,31.234345
0xaf4aFD7a2e5a1A6fF0115D7EA85CcC1a1E5c348F,31230430,31.230430
0xB4Bed71f89345456Aa2f966b340DD2073e3C21A1,31103000,31.103000
0x43C008700DA8eF245D9685144feeaB420f2c045d,31088308,31.088308
0x03c3e07233201c582b1d7652632C9219653DeC8f,29792732,29.792732
0x13702402B3DcaC77A4D4aAA446F12ba68eaAcDcB,29651281,29.651281
0xA80e73c841A68f041C4dC0fe4Cc1D1724bD87950,29362539,29.362539
0xEF30fA2138A725523451688279b11216B0505E98,28787671,28.787671
0x114CD95936673b1e82A8588dFe07468c6E124C47,27416751,27.416751
0xAc7Cf2D439C052Fc795B157663F5257A67cdeC11,27295070,27.295070
0x1c7Daf820B498507963A931cF120DDD507109d42,27152797,27.152797
0x1325e1c9eEEbdEB5050673BCF2887E093a7b264C,27083378,27.083378
0xA1F36EB2f8bAAA3d700bB0708E6c2B0741bED6fA,27077621,27.077621
0x233C30557DebEe2779ac6254D7caF0c523B38831,26917351,26.917351
0x0e17D43B80EB87a5EDaaC7fc4c672FeCa2bBA85A,26789995,26.789995
0x25088A94C04860dfcD31f7915Ff9761B038b688a,26705994,26.705994
0x8C9A1431DaC49a2C0A8778eDdC334eDDA44dC8De,26605343,26.605343
0x76d56Cd22d73b260cE6a41959460EF9dEd33961e,26569584,26.569584
0x6e9930A0e485eaC1E3aCD902026e1eC59Cc3c6Ed,26282296,26.282296
0xfeaebB44CB843CB761c53952CD9BD1Ab25977695,25853309,25.853309
0x58eef0264Ad8Fe66996fE7b954AE695455018144,25684741,25.684741
0x27BBC4e9226aC0Bd89FD897Bc77d0A478C54D769,25514772,25.514772
0xf2725e8cc9a307149247A48e8C3ddE35D3C34CB1,25514772,25.514772
0xb90654BdfA2F0a1a1050efb32FBFe83244C283D3,25482665,25.482665
0x32844a824F458f24878515923F1FA120b6b711F2,25460692,25.460692
0x2Cb2056f69a482CCB5ea0dD0D8c7B2D8489B0a5f,25449153,25.449153
0x20331dF811c551476ce7e0bd800246eb791ef231,25247952,25.247952
0x42E076485c34C8bae0FEda9Ed90e8be4D71e4BeF,25150037,25.150037
0xb5dda6fFDb8518C824732077edF7Da60b2330A78,25119105,25.119105
0x42C4f161062c22408F2C6fD38211de3059Bcbe8A,25101845,25.101845
0xcb15429824A8B4ff14e69A0a9BeF0bdde779D9ce,24831160,24.831160
0xe0B37D30d6ccD0EAb92D23c18c15dD12d782780a,24771528,24.771528
0xCb547Ec878D93cFEfD4be94Abe0DA9B576f81D85,24446951,24.446951
0x8996f8D5C954A21Aa1989b9500934Ffb35ebb5A3,24086586,24.086586
0xF44bC7a75709a7857eF14a1866ADBC9D774c7751,23641837,23.641837
0x2D7a76c029e826C7b7855dF1538016C94BF5FECB,23581766,23.581766
0x33B2A0295A48cac80DD6bA59c6880DCB1a9D2784,23558064,23.558064
0x50729246D44Ad421Ac22ADFc339E0F2B79239dE1,23481480,23.481480
0x786504696489E2B4755791d7585DbD620b2459F8,23476468,23.476468
0x75F55Bb55e36E6ed45BB710B1C50A64ED9b49A6c,23180123,23.180123
0x2687F06aE6601e9Dc6e5557Bc0103Af865F6ee29,22734891,22.734891
0x646e3F342E8A22C693f0ec4bAf40d6F60cC8450b,22702143,22.702143
0x89653C7156CCc49be0E0B5Ab63F2848296Bb1a8d,22657949,22.657949
0xE048bEbF5714317Ff5d38c5F2FcECa97C9BF1B6b,22524641,22.524641
0xbD2C52590Ff301bC97086A34Ddd99b09A930adcC,22457301,22.457301
