Address,Raw Amount,Formatted Amount (6 decimals)
0x8b932f5e9B62BBA7fC468396DD628aE2DD88cF33,184479977,184.479977
0xcf001a50c6ba7D83d5B83DF59486AcA10db24D48,82783757,82.783757
0x1815494D007994Aa8Ad34481EfB02cDA6D885995,80832865,80.832865
0x34dccfae06202D1167797870679fC1Fb9EF7A523,69481861,69.481861
0x6d5039Eb910BF49BDD85092289F5dFd76e4138eA,67323027,67.323027
0x1a5D119331D3193c85fb9cF1bEE22FD17908f58d,65410985,65.410985
0xB8fa8579473b93aCeDfCEA5208a7b56bEC2c1385,63205723,63.205723
0x04E45eE310048F79D0eb1D7eFedAA45c1973DcC1,61657127,61.657127
0xA4322a26c0FD7a05a7f0aF2e72faee27F808979C,60031475,60.031475
0x5cE8EbB7CeF96821C7Cc4F1BDf79CA78D62d8b5d,50478049,50.478049
0xE9b8f3225983EEf3653C3618f4D9dd7A8745A744,43763821,43.763821
0x2a0059610c92842DC2eF84aF76b244C28687e647,41906055,41.906055
0x5647cc8d0ab4D9Af1540C606BA603FDdCcCC6b25,39792909,39.792909
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,39132958,39.132958
0x3115ba406aD02D875ca84c0DC861B05e06CA684d,34565511,34.565511
0x432343eC75282577e656C9DCC897dB2Ef4ddd4CB,32939092,32.939092
0x6124a2c1865E183A798006bfcCcb2AffdF6E9cE7,32848053,32.848053
0xf0045f24895A17015f7A57AE44464DbdDD04AA21,31292659,31.292659
0xD9b49a81ee72aF3C026a2C144C9Ffd678A78C8b1,30277221,30.277221
0x6e868846b2182235C16FD122FCD44739E55A58e4,30220753,30.220753
0x1eccd61c9fa53a8D2e823A26cD72A7efD7D0E92e,29049482,29.049482
0xC706C813aa7a67817983D0F5562057ef5bf38D54,28604012,28.604012
0xA077b54582e5d05DE3873b080ca9Ed4b59acF015,28247704,28.247704
0x97f25d7dfdA8c1bC7dc578C6Dc853F73AED5b37C,26069453,26.069453
0x4a9F8350172611Cd7c5540eCaBCed0518175EdFA,25755675,25.755675
0xCb547Ec878D93cFEfD4be94Abe0DA9B576f81D85,25380749,25.380749
0x4D3A307aEc8eEEA1ac093B1b2F4Dca8E23A064ca,24854658,24.854658
0x26cBCDf6d33f50b879FAd554908E26F806F09787,24754697,24.754697
0x468ff1d2602Da2597723FBC2Fc591b91F88C4F25,23760441,23.760441
