Address,Raw Amount,Formatted Amount (6 decimals)
0x1a96db12ad7f0c9f91c538d16c39c360b5e8fb21,776801218,776.801218
0xcbdf77209f306b8f272128963c3f637989bd517e,406796337,406.796337
0x4d470e0a241c3d7321b4b6c6f23f214db85bfa47,398241089,398.241089
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,235347411,235.347411
0xa146e1dfe9241daaa31e23cfddc8ff330d2c4c7d,155407237,155.407237
0x92a4f58009df9eac5f2af6d05977683639f0060e,126064515,126.064515
0x4f7cca651a6452941f617c5a461c5a55700330d7,124212439,124.212439
0x772d541b34abee301316953acd6dacb2e0358962,97695901,97.695901
0x25730e458139779921c4d895a4887c0cf5524c2e,91434654,91.434654
0x02d4f28aed9449e57081980e3c8151469b9dd7c1,89018510,89.018510
0x5f5a7cabaaa07f42d8c558ed061371c0dacf2011,84882400,84.882400
0x599f93f297bb772e57e9e4921b1a589a4a762146,80898438,80.898438
0xde3ad8f4a7482014b534541bc55ba40f4fd3695f,78429666,78.429666
0x9a78943c6fa0cbab07d3a649b4921c10b3186e91,75396200,75.396200
0xb74b4347dffdb17e70e0dd3eb192f498844f56f7,75107391,75.107391
0x3369cd74761b5d6d3498a46082699f601c717d8a,74565297,74.565297
0xcd2c1e27cb06317bd72034ebe670c35ad6f898c7,73801644,73.801644
0xba22e08a7597285a35c5be320e753be93a14aaf2,68817912,68.817912
0x7bc0146115c29168c9ca25086e42c2b50c3c8768,66632725,66.632725
0x25755dbf2c7e206c4f33fc96e78a4de19af97084,65530091,65.530091
0xbe99ad820c30dd2c093d4f6068a9d9eefc910345,65364559,65.364559
0x93f947544f999a5f63822b50271c524a33efbc0a,64755162,64.755162
0x08f8f2e7d15b821cf2a3bb6824279d473dd7508b,64751199,64.751199
0x02d4ac9b89589d6fbc482a10e711472a5e43c6d6,64725067,64.725067
0x1c21c2c996c8c3b6759afef73d0cde66862f0922,64724813,64.724813
0x6c79b423cd7b2eb2b56f3993958a0c1a6fcab903,63143811,63.143811
0x28d122612e50da0604a7459982fc1db4a353aaf3,62544116,62.544116
0x7c8bb2254d11b55a9f215e3b7cbe67741076c188,61741592,61.741592
0x27a188be902fadcceae985426dd86aaeb088b4cd,59844387,59.844387
0x6da0a3a4dd0e0ef77ac4a39d208d13ef5e3da0af,59641346,59.641346
0xb7b4c4cfe6209e1c530094af7737b1e5aedaafbd,58852969,58.852969
0xf0e73d47c1c66a2777d05bd6085f78c50e3a0650,58794801,58.794801
0xe8f7a0c71fff0b5027e2431f1e2c4dda84ae8e5d,58717994,58.717994
0xdc9b68b6760a92adec4b4858b5ff77f1dc0ec6a9,58678464,58.678464
0xc059e184d536e4d410068cd59f0304d6b63385ed,58387633,58.387633
0xd050e4573d784620c3c15e7bed630800d949135b,58135532,58.135532
0x109b6afdcb301fcb24170504dc315a865974e84b,55973760,55.973760
0xd31593dc19bb056ed38f1f0754f88412fa10e8b4,54883348,54.883348
0x1c7daf820b498507963a931cf120ddd507109d42,52070041,52.070041
0xf4753b05f81a52ef21576e1aa9bcb3b6a89d66ca,50601361,50.601361
0x059d0025e4e1bb1a37f2c922e54b139bc1231ee0,50392937,50.392937
0x0072b9fb38d6ab45e53676791e907e0cddf94449,50242997,50.242997
0x5c3fa65c3eb57f83c67f947321ac5969e72ed44d,49696295,49.696295
0x592aaba7cbd879671e6de1d30fbfd63ff2687410,47188563,47.188563
0x4b41d5a8466710f265c2f476c98dd43a6553a913,46055174,46.055174
0xbad908bc158ef60ac7472f3fd978e65a51379b8e,45039111,45.039111
0x7a5484d334d3af7f4da3171d3d0221e5552de76c,44951959,44.951959
0xd91432ea17a0b4ff2c28af958d4b175353c7c730,44917135,44.917135
0xaa8bdb60ee28e7616bfe4867f58bfe4edf858271,44198767,44.198767
0xb08b3d50d870a358ee191f4cd6cfb4a1e93d57ba,42763609,42.763609
0xbc1159fcaa1ac43e9a12d3f9e3fbe32b9a676701,42424172,42.424172
0x446452ef10b61899f509a8225a5d2bf821d60f4b,41983788,41.983788
0x5d1c90fc7f4ac5edefd58a8f2dc16f204f96497d,41611769,41.611769
0xbaf8cde9c1c429e46d3232d45ae44a8f38c99928,40949508,40.949508
0x446125000fa49b2195d82bffcd0d3d3160422a49,40932003,40.932003
0x72bdf762dbb14b7fe9f7004473a8c0ab26c850ee,40211885,40.211885
0x1ba9fa049a4e3f888bb210ceec36517c2c17a5b2,40131440,40.131440
0x43c89407960a524cb8c6ce09d647423fcecc40c6,40107437,40.107437
0x77a1c6bd4668ed7a327f0da922bcffad8fd1e199,40074198,40.074198
0x35e5367ea8e1c8669c4401245b58aaf1cc472171,39960734,39.960734
0xd5c196b5b67e624738d85ab5a98534e68fd2c88e,39826163,39.826163
0x993104097a62f948b0b7f58fecc36862ba001502,39212472,39.212472
0x8092c2a1bd37195a303776a60dd612613652fbdb,39063715,39.063715
0xf2f7ad044dfbaa417249c8568788d7aa1e6f155b,38525736,38.525736
0x778c81880dfd2ec9d02aab661b17c01c3d2e0995,38285228,38.285228
0xdfa5442063acb646a182856be268989d6f2fef09,37882742,37.882742
0x1e9b7ed825c0acb6bcf0e2ab53c99dc32b48bd29,37654760,37.654760
0x1ccde298d9ea5621b7072cac8196db222164aa50,37428995,37.428995
0x0c8cfb9e67bcd5ef0c6de6c7e7b93d82cdca7bca,37417968,37.417968
0x1efef4f40318970324776382f876ce5149c077da,37394551,37.394551
0xb65325ba6b07b257278e646c0aebefea9a9b3ff2,37274044,37.274044
0xd0b1a7544f642aa37deb7ace048ec53dafa18c8a,36788973,36.788973
0xea889013a6510e733281116bef35efa93f8be3be,36726797,36.726797
0x5256c360949b88c6b13a7ef598c5b309c516ff92,36233682,36.233682
