Address,Raw Amount,Formatted Amount (6 decimals)
0x6721cDB000Dae10C9FB77C6634d817a56f0796ef,1607067993,1607.067993
0x696746312117c157EC03a261aD07Cf14b87eAe49,911551475,911.551475
0x2BF6b87AC34BebC823375fd1d7Bc050c968e9e52,845272653,845.272653
0x098dDb5F48AD1DAA5f691c4b2AD6360e45a22747,363205548,363.205548
0x31D34aFb5fcb580B187c2a09d3de13A3d59bc03C,320653722,320.653722
0x902B7f9D53c3F5010e12372540a6644d98742130,264920943,264.920943
0x4f7A9B9329F140c0027d58678a98a7863A89dfbf,210314120,210.314120
0x80044124d602badF18c2c580b99b37b12C67B00e,189106248,189.106248
0x273E9C8198378640F5f007379034b5fa201eF119,174636119,174.636119
0x1Ee4d8A859e3Dd3440082b2748186a785306f18f,149733031,149.733031
0xaBaEA8cC78D2b666288C4b30a61Fd185d178C907,140773539,140.773539
0x73F0557e2eB80Dc58375aF28D465575572727dCc,139620825,139.620825
0x2Fc595104A114E603976f55396bED61744Ff9CAb,131572334,131.572334
0xE18B469f0674bded68859F1D1279DBADA56f764B,122463011,122.463011
0xDd5a81eE4c853Db84807C212808C64Ae5aa7DD34,120452974,120.452974
0x4764aE8A9A30cd6a489d29Fd5949f397B6d7B721,118302328,118.302328
0xF29D40d4287249978a7665532507A8ad82451F39,117165680,117.165680
0x9a72B97137065b3816d091310E483811baa1bE0F,116555410,116.555410
0x08fa83aD40DF040Daff2971c861f3929e6Aa20a8,110530798,110.530798
0x42E076485c34C8bae0FEda9Ed90e8be4D71e4BeF,108843872,108.843872
0x8dd0f272737b908b8ADcb931fD38145265154cF3,108288237,108.288237
0xD04d2A12eCDaC6b145088c45c00015673d09b41e,99314655,99.314655
0xdc88DB8B2E31522C0063ddD67Eecf8Cb11Ea4697,96444157,96.444157
0x8f8D2D2565bFB10608a7Ce64b48E2Aea7875a344,96229790,96.229790
0x91968E4bde01E1dD5d595AE4d5CAF306797b6d87,93752788,93.752788
0x82503B5FA297D2fb40D14880A437d2F480602eA4,87464888,87.464888
0xfFaE19561C038747c5C9F79F7777c29F28c4B4ad,84406175,84.406175
