provider,amount_raw_wei,amount_normalized_18d
0xd226991dd0269660fe4d22105ca7de0b6eb774aa,262778516550000000000000,262778.51655
0x53daadefaf16cfd7a7031ab6caaaadb280812cf4,143392473051795431443110,143392.47305179543144311
0x4764ae8a9a30cd6a489d29fd5949f397b6d7b721,124115742500496313725506,124115.742500496313725506
0x23727ebde0056732754df6a75bde03fcd8706f35,122542166748178406656291,122542.166748178406656291
0x544e93c8cc446d4fd761d47c0ffcb1495fd86fc4,105418348017807179153562,105418.348017807179153562
0xf961e5e6c5276164adb2865b7e80cf82dc04e920,99728504410588914702831,99728.504410588914702831
0x29e0434236427c322912554b15167edca235d897,87998499261510000000000,87998.49926151
0x44e3492863c012d83d7ac1a42df70efb033e55b5,75530114993990000000000,75530.11499399
0x6721cdb000dae10c9fb77c6634d817a56f0796ef,67168532202574485857224,67168.532202574485857224
0x374c5beb2ded716bc3f846a8c88ff42c4012b9e7,60102521306333915115912,60102.521306333915115912
0x1b6f876416fd17e0f0cf2b7c47b0f13408156dbe,52704798782201196885808,52704.798782201196885808
0x0769789445730f69fb48157f1e989dc376ffbe77,50000000000000000000000,50000
0xc5ce25fda5e8f79f0e65c165afe5413d55022761,48110448911871371496936,48110.448911871371496936
0x59665f5d3e7fb52feb352d81e0ef0a3093085262,45316276479284035333559,45316.276479284035333559
0x31d34afb5fcb580b187c2a09d3de13a3d59bc03c,43860971699367424928410,43860.97169936742492841
0x1171ce6dc459307314378aab819a83fbbcd00af3,39396329500000000000000,39396.3295
0x0476d8c1a93064d7ec642798c8259d7bc0ea40d3,38866651598076082920933,38866.651598076082920933
0x007869f062a304586a714b5e7d122247bafdd40a,38815305192394554129900,38815.3051923945541299
0x871beec81d039ec014d1285157abd3e06f92617d,34190993710296215863764,34190.993710296215863764
0x3debc3e0e1326a3d87cdd9965c6cc4deee94c6f7,34003200235602025012565,34003.200235602025012565
0x65962beda8d54020e808546c30a62087861fc652,33205177895263031212767,33205.177895263031212767
0xef594847e2d6d616f09e76816136459b0906c574,31866000000000000000000,31866
0x5cc688704bd00fac6e9081cbc011810adfcced02,31473402200000000000000,31473.4022
0x57aa14fcfef7625fc0409c5e5579d4899ab1933c,29004692386610000000000,29004.69238661
0xe7917da035da04d36da823adb509a07b33a24294,28437237056901249130823,28437.237056901249130823
0xab4360b51f5943d1c3fbfc46654fcbdf5dbd8e81,28067481895432421858353,28067.481895432421858353
0x3371a4c4e7c31094bb50d248260ce70f1fcce66f,26763997900000000000000,26763.9979
0x1412a1eb9841f87c9bd2e81e5fe147622def0aef,25269000000000000000000,25269
0x003551a4d7fd47a2d804612a28887b9b06698514,24254623333060156887202,24254.623333060156887202
0x5f20fb41d79d6dcb9397c6602d0323e13bd9ee43,23201000000000000000000,23201
0x902b7f9d53c3f5010e12372540a6644d98742130,22632115446762421566136,22632.115446762421566136
0x6f468cc54e6f5293345876cafb8e8e0ec09d8695,22552366906950231652554,22552.366906950231652554
0x036e4b2c21695a2e09ac7d7d089f6e50ad62886d,21907164902169777124003,21907.164902169777124003
0x55c07b1a076d65b435ecf42c13ce61786d3f9b22,21677820387466832826098,21677.820387466832826098
0x50dfd8835800d89d8392eb7229ae569db027646b,20847825910858002453969,20847.825910858002453969
0x64eaccb62a35eb791cf79a2bec40e902dd99902c,20008000019461945000000,20008.000019461945
0x4f7a9b9329f140c0027d58678a98a7863a89dfbf,19889459403298566811957,19889.459403298566811957
0x8813671f0172d6d0b6b61d49e3c129b018669653,19512772386126495618601,19512.772386126495618601
0x0cb61c03bdf9a7ae78f7ebf88c5b3e06f0b33d02,19043144240353518009635,19043.144240353518009635
0x1adcf07389b1f6605c44a7683c50a5243829a92c,18538974766575349674909,18538.974766575349674909
0x80044124d602badf18c2c580b99b37b12c67b00e,18333520648111920507965,18333.520648111920507965
0x9356a15acd137b1532600aea631c70cdf15ed3f1,18002721714728606235182,18002.721714728606235182
0xfd56cc4979e33c2ef97d97b63fb664250f33c946,17683003187770475880615,17683.003187770475880615
0xa333c4fd6b23ff189f561270b3e1692a7ad3cef9,15850824382070904390684,15850.824382070904390684
0xbd4257d510221ad5dd5d94c127eb0bc7b174b965,15024882419944401540423,15024.882419944401540423
0x696746312117c157ec03a261ad07cf14b87eae49,14553901893016784383810,14553.90189301678438381
0x4b3375a506e022d2f15d0d92b2dae51c4f87f57e,14528482437951564105025,14528.482437951564105025
0x9c17d37ac1b2a9c6d003c373a72232611abb0a50,14206754988395490064814,14206.754988395490064814
0x51b643b1dbed6f05712691b440117e2578c95792,14125778757028283647617,14125.778757028283647617
0x804aee67099451dcbce05cf44b7203c3faf73ee6,14080670576799996330216,14080.670576799996330216
0xaa8e61205a5b954fab183b4666ea8206089ce3b0,13399739538254000000000,13399.739538254
0x2a2f833df877ee79bc60ff16504f9a6442ba2036,13322542880000000000000,13322.54288
0x3cc6cc687870c972127e073e05b956a1ee270164,13305612531865940268072,13305.612531865940268072
0x830fb488e3da47f2b12feede6af5d00f1eaa136a,13039757422916836253468,13039.757422916836253468
0x0cc7cedb0935ceab0b4a6b38ee7dcfd403b19a7b,12477253661100469676372,12477.253661100469676372
0x1582b06d8c4b6c5990e2ba951d88a88363dab891,12404521262175449439837,12404.521262175449439837
0xbb213ec5fc258fc1e3ac652baef84e2c61f10ae4,12242770400000000000000,12242.7704
0x1bcd6e50cb2e89f73235621f5eaa819d6f60de07,12051160607661424806504,12051.160607661424806504
0x4935af7a90bf965a65675826242ce290b31d6381,12000000000000000000000,12000
0x6271add46dcbb4b4ef5b32f18704bdd716bd9be9,11735652241153525557186,11735.652241153525557186
0xc7ffa5070a1cdb10dfcc6cc20a59d24c3fb54e05,11468626830550234838186,11468.626830550234838186
0xa9374a95326cd458a348a11f95cb8423448cffef,11237664789710000000000,11237.66478971
0x24d014e96ec8a0a1b23c3ce302eb463e46f3e345,11052790700000000000000,11052.7907
0x247fa9a42f6c4505fbdd8bcd7def46e1585b5867,11000000000000000000000,11000
0xc8728ae130381eb77fc9a8b715564b00e83e19df,10823596054166628133607,10823.596054166628133607
0x0e7582365dae7b34930db32e5cd73ee94b6668dc,10672000000000000000000,10672
0x0fadcd8d7862bb2b39d63d6a30c6b7c660c41d32,10657128354639359447183,10657.128354639359447183
0x79937791abc7c9c87b251743b2929898b40eb052,10475225245442451193421,10475.225245442451193421
0x9eaee4cb4bcbd5fb8b3cbcd62cee5f6451cf082f,10405682463491288293521,10405.682463491288293521
0x5f43cd11f9c147a2320fdd900ef35b68a0a39a12,10336311068986437649887,10336.311068986437649887
0xabaa03844151735f9455d5f9ab02dab7d3d37724,10211756769304670171687,10211.756769304670171687
0x3b86b85181ed3678197e7f380c0b785ab8278b43,10140449640276417665186,10140.449640276417665186
0xb97ebf6ff02d23d141cb1676097cab9921a6226b,10002911967733069047968,10002.911967733069047968
0x5f4f60658567f380f3aa4c6323ebaaf52d27c3a0,10000000000000000000000,10000
0x586208843e4b7078dbab9898f7b592e5987d3019,9978700000000000000000,9978.7
0xbe937e745af31d9c83fe824402888c3499b4f81d,9686939038142292728513,9686.939038142292728513
0x091b868d53249e34c5df39fa98628f4dc2d46bc0,9402533588122067750485,9402.533588122067750485
